    Depth[km]  Vp[km/s]  Vs[km/s] Rho[g/cm3]    T[K]     g[m/s2]         P[Pa]        
     0.000    3.8650    2.3370    1.7647    273.1500    3.7291              0.0000
    12.291    3.8650    2.3370    1.7647    317.2144    3.7380       80881689.9918
    12.291    4.9754    3.0083    2.2716    317.2144    3.7380       80881689.9918
    30.001    4.9754    3.0083    2.2716    380.7136    3.7436      231268231.6640
    30.001    6.5081    3.9351    2.9714    380.7136    3.7436      231268231.6640
    46.341    6.5081    3.9351    2.9714    439.2969    3.7394      413025534.1606
    46.341    7.8445    4.4856    3.4778    439.2969    3.7394      413025534.1606
    56.493    7.8410    4.4792    3.4784    475.6989    3.7325      545072613.5598
    66.646    7.8372    4.4725    3.4789    512.1009    3.7256      676895932.7552
    76.799    7.8330    4.4656    3.4793    548.5029    3.7188      808493521.6579
    86.952    7.8285    4.4586    3.4796    584.9050    3.7119      939863007.7029
    97.104    7.8238    4.4514    3.4799    621.3070    3.7052     1071003568.0142
   107.257    7.8182    4.4438    3.4800    657.7090    3.6984     1201911409.5209
   117.410    7.8131    4.4365    3.4802    694.1110    3.6916     1332585001.0839
   127.563    7.8081    4.4291    3.4804    730.5130    3.6849     1463027268.3853
   137.716    7.8029    4.4216    3.4805    766.9151    3.6783     1593238378.3537
   147.868    7.7968    4.4138    3.4804    803.3171    3.6716     1723214337.5840
   158.021    7.7915    4.4063    3.4805    839.7191    3.6650     1852954584.6960
   168.174    7.7864    4.3988    3.4805    876.1211    3.6584     1982463095.3276
   178.327    7.7801    4.3909    3.4804    912.5231    3.6518     2111736333.2871
   188.480    7.7749    4.3834    3.4803    948.9252    3.6453     2240773872.2919
   198.632    7.7687    4.3755    3.4801    985.3272    3.6388     2369575784.5032
   208.785    7.7627    4.3676    3.4798   1021.7292    3.6323     2498139220.8282
   218.938    7.7578    4.3603    3.4798   1058.1312    3.6259     2626468466.1863
   229.091    7.7513    4.3523    3.4793   1094.5332    3.6195     2754561571.5874
   239.243    7.7451    4.3443    3.4790   1130.9353    3.6132     2882414758.4829
   249.396    7.7397    4.3367    3.4789   1167.3373    3.6068     3010034948.2662
